Variablenübersicht (nur generierte und nicht interne Variablen);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Studie;Thema und Fragebogenausschnitt;Unterthema;Varname;;DStyp ID;Datensatztyp;Varlabel;Originalvariable;Dateninfo;SyntaxGenVar;VarLevel; Valuelabel Set;Ausprägungen;Text Dt
;;;;;;;;;;;;;-97;Nicht erhoben (<18 Jahre)
;;;;;;;;;;;;;1;Kein depressives Syndrom
;;;;;;;;;;;;;2;Anderes depressives Syndrom
;;;;;;;;;;;;;3;Majores depressives Syndrom
GEDA19;Psychische Krankh./Auffälligkeiten (1301);Depression (130101);PKphq8_k4;;17;Abt2_DS;PHQ-8: Depressive Symptomatik in 3 Kat.;PKphq1-8;"PHQ-8: Depressive Symptomatik in 3 Kat.
Summe aller Antworten der 8 PHQ-Fragen mit validen Werten: mit Kodierungen 0 bis 3 (Pkphq1-Pkphq8)
Missing: wenn mind. eine der 8 PHQ-Fragen nicht angegeben wurde.";"if PKPHQ8sum >=0 and PKPHQ8sum <10 then  PKPHQ8_k4=1;
if PKPHQ8sum >=10 and PKPHQ8sum <15 then  PKPHQ8_k4=2;
if PKPHQ8sum >=15 then  PKPHQ8_k4=3;";Ordinal;PKphq8k4f;;
;;;;;;;;;;;;;1;PHQ-8: 0-9
;;;;;;;;;;;;;2;PHQ-8: 10-14
;;;;;;;;;;;;;3;PHQ-8: 15-24
GEDA19;Psychische Krankh./Auffälligkeiten (1301);Depression (130101);PKphq8_k5;;17;Abt2_DS;PHQ-8: Depressive Symptomatik 2 Kat. 15-24 versus 0-14;PKphq1-8;"PHQ-8: Depressive Symptomatik 2 Kat. 15-24 versus 0-14
Summe aller Antworten der 8 PHQ-Fragen mit validen Werten: mit Kodierungen 0 bis 3 (Pkphq1-Pkphq8) in 2 Kategorien.

Missing: wenn mind. eine der 8 PHQ-Fragen nicht angegeben wurde.";"if PKPHQ8sum >=15  then  PKPHQ8_k5=1;
if (PKPHQ8sum >=0  and PKPHQ8sum <15) then  PKPHQ8_k5=2;";Ordinal;PKphq8k5f;;
;;;;;;;;;;;;;1;PHQ-8: 15-24
;;;;;;;;;;;;;2;PHQ-8: 0-14
GEDA19;Psychische Krankh./Auffälligkeiten (1301);Depression (130101);PKphq8_k6;;17;Abt2_DS;PHQ-8: Depressive Symptomatik 2 Kat. 10-24 versus 0-9;PKphq1-8;"PHQ-8: Depressive Symptomatik 2 Kat. 10-24 versus 0-9
Summe aller Antworten der 8 PHQ-Fragen mit validen Werten: mit Kodierungen 0 bis 3 (Pkphq1-Pkphq8) in 2 Kategorien.

Missing: wenn mind. eine der 8 PHQ-Fragen nicht angegeben wurde.";"if PKPHQ8sum >=10 then    PKPHQ8_k6=1;
if (PKPHQ8sum >=0 and PKPHQ8sum <10) then  PKPHQ8_k6=2;";Ordinal;PKphq8k6f;;
;;;;;;;;;;;;;1;PHQ-8: 0-9
;;;;;;;;;;;;;2;PHQ-8: 10-24
GEDA19;Schutzfaktoren (1303);Soziale Unterstützung (130301);SFoslo2C;;17;Abt2_DS;Anteilnahme anderer Personen;SFoslo2D;Um Vergleichbarkeit zwischen den GEDA Surveys zu gewährleisten, wurde eine SFoslo2C mit umgekehrter Kodierung zu SFoslo2D (EHIS) angelegt.;"*SFoslo2C generieren ;
************************;
*Werte von SFoslo2D zu SFoslo2C in umgekehrter Kodierung übertragen. Ausnahme von ""Weiß nicht"" und ""Keine Angabe"" --> Kodierung bleibt identisch;
SFoslo2C = (6-SFoslo2D);
if SFoslo2D = .w then SFoslo2C = .w;
if SFoslo2D = .k then SFoslo2C = .k;";Ordinal;SFoslo2Cf;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine Anteilnahme und Interesse
;;;;;;;;;;;;;2;Wenig Anteilnahme und Interesse
;;;;;;;;;;;;;3;Weder viel noch wenig
;;;;;;;;;;;;;4;Viel Anteilnahme und Interesse
;;;;;;;;;;;;;5;Sehr viel Anteilnahme und Interesse
GEDA19;Schutzfaktoren (1303);Soziale Unterstützung (130301);SFoslo3A;;17;Abt2_DS;Erhalt von Hilfe;SFoslo3C;Um Vergleichbarkeit zwischen den GEDA Surveys zu gewährleisten, wurde eine SFoslo3A mit umgekehrter Kodierung zu SFoslo3C (EHIS) angelegt.;"*SFoslo3A generieren ;
************************;
*Werte von SFoslo3C zu SFoslo3A in umgekehrter Kodierung übertragen. Ausnahme von ""Weiß nicht"" und ""Keine Angabe"" --> Kodierung bleibt identisch;
SFoslo3A = (6-SFoslo3C);
if SFoslo3C = .w then SFoslo3A = .w;
if SFoslo3C = .k then SFoslo3A = .k;";Ordinal;SFoslo3f;;
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Sehr schwierig
;;;;;;;;;;;;;2;Schwierig
;;;;;;;;;;;;;3;Möglich
;;;;;;;;;;;;;4;Einfach
;;;;;;;;;;;;;5;Sehr einfach
GEDA19;Schutzfaktoren (1303);Soziale Unterstützung (130301);SFosloA;;17;Abt2_DS;Soziale Unterstützung (Oslo-3 Social Support Scale);SFoslo1C, SFoslo2D, SFoslo3C;"Zusammenfassende Variable zur Bildung von Oslo-3 Social Support Scale. Die Syntax wurde aus den Informationen des  Dokuments EHIS Indicators gebildet. Der EHIS Name ist OSS.
Im Vorfeld ist zu beachten, dass SFoslo2D = SFoslo2C mit entgegengesetzter Kodierung ist. Genauso ist es bei SFoslo3C und SFoslo3A. Für die Berechnung von SFolsoA wird die Kodierung von SFoslo2D und SFolslo3C umgedreht, so dass ihre Kodierung den Kodierungen von SFoslo2C bzw. SFoslo3A entsprechen.
SFosloA wird nur gebildet, wenn alle drei Fragen zur sozialen Unterstützung (SFoslo1C, SFoslo2D, SFoslo3C) beantwortet wurden. Enthält eine der drei Variablen einen Missingwert, so ist auch SFosloA = Missing.
SFosloA = geringe Unterstützung, wenn die Summe der 3 Variablen den Wertebereich 3 bis 8 hat.
SFosloA = mittlere Unterstützung, wenn die Summe der 3 Variablen den Wertebereich 9 bis 11 hat.
SFosloA = starke Unterstützung, wenn die Summe der 3 Variablen den Wertebereich 12 bis 14 hat.
Hinweis: Die Hilfsvariable, die für die Bildung benötigt wird, wird nicht in der SynopseDB angelegt, sondern ist nur in der Syntax enthalten. Des Weiteren unterscheidet sich der Berechnungsweg von SFosloA von GEDA19 zu GEDA14, da sich in GEDA19 an den Berechnungsweg aus den EHIS Unterlagen gehalten wird. Das Ergebnis und die Wertebereiche sind jedoch identisch.";"*---------------------------------------------------------------------------------;
*   generieren von SFosloA (OSS - EHIS)           ;
*---------------------------------------------------------------------------------;
* Schritt 1: Hilfsvariable bilden  (SFosloA_h = OSSsum)  ;
**********************************************************;
if SFoslo1C >= 1 and SFoslo1C <= 4 and SFoslo2D >= 1 and SFoslo2D <= 5 and SFoslo3C >= 1 and SFoslo3C <= 5 
 then SFosloA_h = SFoslo1C + (6 - SFoslo2D) + (6 - SFoslo3C);

* Schritt 2: Zusammenfassende Variable (SFosloA = OSS) bilden  ;
********************************************************************;
if SFosloA_h >= 3 and SFosloA_h <= 8 then SFosloA = 1;
if SFosloA_h >= 9 and SFosloA_h <= 11 then SFosloA = 2;
if SFosloA_h >= 12 and SFosloA_h <= 14 then SFosloA = 3;";Ordinal;SFosloA;;
;;;;;;;;;;;;;1;Geringe Unterstützung
;;;;;;;;;;;;;2;Mittlere Unterstützung
;;;;;;;;;;;;;3;Starke Unterstützung
GEDA19;Inanspruchnahme (1401);Inanspruchnahme allgemein (140100);IAkosten;;17;Abt2_DS;Benötigte US/Behandlung n. bezahlbar i.d.l. 12 Mon.;IAkosten1, IAkosten2, IAkosten3, IAkosten4;"Zusammenfassende Variable zu dem nicht gedeckten Bedarf an medizinischer Behandlung aus finanziellen Gründen. Die Syntax wurde aus den Informationen des  Dokuments EHIS Indicators gebildet. Der EHIS Name ist UNFTOT.
IAkosten = Ja, wenn mindestens eine der 4 Fragen, nach dem nicht gedeckten Bedarf aus finanziellen Gründen, mit ""Ja"" beantwortet wurde.
IAkosten = Nein, wenn mindestens eine der 4 Fragen, mit ""Nein"" beantwortet wurde und es keine ""Ja*s"" und keine Missings gibt.
IAkosten = Kein Bedarf, wenn alle 4 Fragen mit ""Kein Bedarf"" beantwortet wurden.
Hinweis: Die Hilfsvariablen, die für die Bildung benötigt werden, werden nicht in SynopseDB angelegt, sondern sind nur in der Syntax enthalten.";"* Schritt 1: Hilfsvariablen bilden   ;
**************************************;
*Berechnen der Anzahl an Variablen mit Wert =1, =2, =3;
/*für CUN2_1 = IAkosten_h1*/
if IAkosten1 = 1 then IAkosten1_h1 = 1; else  IAkosten1_h1 = 0;
if IAkosten2 = 1 then IAkosten2_h1 = 1; else  IAkosten2_h1 = 0;
if IAkosten3 = 1 then IAkosten3_h1 = 1; else  IAkosten3_h1 = 0;
if IAkosten4 = 1 then IAkosten4_h1 = 1; else  IAkosten4_h1 = 0;

/*für CUN2_2 = IAkosten_h2*/
if IAkosten1 = 2 then IAkosten1_h2 = 1; else  IAkosten1_h2 = 0;
if IAkosten2 = 2 then IAkosten2_h2 = 1; else  IAkosten2_h2 = 0;
if IAkosten3 = 2 then IAkosten3_h2 = 1; else  IAkosten3_h2 = 0;
if IAkosten4 = 2 then IAkosten4_h2 = 1; else  IAkosten4_h2 = 0;

/*für CUN2_3 = IAkosten_h3*/
if IAkosten1 = 3 then IAkosten1_h3 = 1; else  IAkosten1_h3 = 0;
if IAkosten2 = 3 then IAkosten2_h3 = 1; else  IAkosten2_h3 = 0;
if IAkosten3 = 3 then IAkosten3_h3 = 1; else  IAkosten3_h3 = 0;
if IAkosten4 = 3 then IAkosten4_h3 = 1; else  IAkosten4_h3 = 0;

/*für CUN2_M = IAkosten_h4*/
if IAkosten1 in (.k .w) then IAkosten1_h4 = 1; else  IAkosten1_h4 = 0;
if IAkosten2 in (.k .w) then IAkosten2_h4 = 1; else  IAkosten2_h4 = 0;
if IAkosten3 in (.k .w) then IAkosten3_h4 = 1; else  IAkosten3_h4 = 0;
if IAkosten4 in (.k .w) then IAkosten4_h4 = 1; else  IAkosten4_h4 = 0;

*Berechnen der Hilfsvariablen;
IAkosten_h1 = sum(IAkosten1_h1, IAkosten2_h1, IAkosten3_h1, IAkosten4_h1); 
IAkosten_h2 = sum(IAkosten1_h2, IAkosten2_h2, IAkosten3_h2, IAkosten4_h2);
IAkosten_h3 = sum(IAkosten1_h3, IAkosten2_h3, IAkosten3_h3, IAkosten4_h3);
IAkosten_h4 = sum(IAkosten1_h4, IAkosten2_h4, IAkosten3_h4, IAkosten4_h4);

* Schritt 2: Zusammenfassende Variable (UNFTOT = IAkosten) bilden ;
********************************************************************;
if IAkosten_h1 >= 1 then IAkosten = 1;
if IAkosten_h1 = 0 and IAkosten_h2 > 0 and IAkosten_h4 = 0 then IAkosten = 2;
if IAkosten_h3 = 4 then IAkosten = 3;";Nominal;UN2A1f;;
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
;;;;;;;;;;;;;3;Kein Bedarf
GEDA19;Inanspruchnahme (1401);Inanspruchnahme allgemein (140100);IAzugang;;17;Abt2_DS;Benötigter Bedarf US/Behandlung/Termin n. gedeckt i.d.l. 12 Mon.;IAtermin, IAweg, IAkosten1, IAkosten2, IAkosten3, IAkosten4;"Zusammenfassende Variable zu dem nicht gedeckten Bedarf an medizinischer Behandlung aus verschiedenen Gründen. Die Syntax wurde aus den Informationen des  Dokuments EHIS Indicators gebildet. Der EHIS Name ist UNTOT.
IAzugang = Ja, wenn mindestens eine der 6 Fragen, nach dem nicht gedeckten Bedarf (s. Originalvariablen), mit ""Ja"" beantwortet wurde.
IAzugang = Nein, wenn mindestens eine der 6 Fragen, mit ""Nein"" beantwortet wurde und es keine ""Ja*s"" und keine Missings gibt.
IAzugang = Kein Bedarf, wenn alle 6 Fragen mit ""Kein Bedarf"" beantwortet wurden.
Hinweis: Die Hilfsvariablen, die für die Bildung benötigt werden, werden nicht in SynopseDB angelegt, sondern sind nur in der Syntax enthalten.";"* Schritt 1: Hilfsvariablen bilden   ;
**************************************;
*Berechnen der Anzahl an Variablen mit Wert =1, =2, =3;
/*für CTUN_1 = IAzugang_h1*/
if IAtermin = 1 then IAtermin_h1 = 1; else  IAtermin_h1 = 0;
if IAweg = 1 then IAweg_h1 = 1; else  IAweg_h1 = 0;
if IAkosten1 = 1 then IAkosten1_h1 = 1; else  IAkosten1_h1 = 0;
if IAkosten2 = 1 then IAkosten2_h1 = 1; else  IAkosten2_h1 = 0;
if IAkosten3 = 1 then IAkosten3_h1 = 1; else  IAkosten3_h1 = 0;
if IAkosten4 = 1 then IAkosten4_h1 = 1; else  IAkosten4_h1 = 0;

/*für CTUN_2 = IAzugang_h2*/
if IAtermin = 2 then IAtermin_h2 = 1; else  IAtermin_h2 = 0;
if IAweg = 2 then IAweg_h2 = 1; else  IAweg_h2 = 0;
if IAkosten1 = 2 then IAkosten1_h2 = 1; else  IAkosten1_h2 = 0;
if IAkosten2 = 2 then IAkosten2_h2 = 1; else  IAkosten2_h2 = 0;
if IAkosten3 = 2 then IAkosten3_h2 = 1; else  IAkosten3_h2 = 0;
if IAkosten4 = 2 then IAkosten4_h2 = 1; else  IAkosten4_h2 = 0;

/*für CTUN_3 = IAzugang_h3*/
if IAtermin = 3 then IAtermin_h3 = 1; else  IAtermin_h3 = 0;
if IAweg = 3 then IAweg_h3 = 1; else  IAweg_h3 = 0;
if IAkosten1 = 3 then IAkosten1_h3 = 1; else  IAkosten1_h3 = 0;
if IAkosten2 = 3 then IAkosten2_h3 = 1; else  IAkosten2_h3 = 0;
if IAkosten3 = 3 then IAkosten3_h3 = 1; else  IAkosten3_h3 = 0;
if IAkosten4 = 3 then IAkosten4_h3 = 1; else  IAkosten4_h3 = 0;

/*für CTUN_M = IAzugang_h4*/
if IAtermin in (.k .w) then IAtermin_h4 = 1; else  IAtermin_h4 = 0;
if IAweg in (.k .w) then IAweg_h4 = 1; else  IAweg_h4 = 0;
if IAkosten1 in (.k .w) then IAkosten1_h4 = 1; else  IAkosten1_h4 = 0;
if IAkosten2 in (.k .w) then IAkosten2_h4 = 1; else  IAkosten2_h4 = 0;
if IAkosten3 in (.k .w) then IAkosten3_h4 = 1; else  IAkosten3_h4 = 0;
if IAkosten4 in (.k .w) then IAkosten4_h4 = 1; else  IAkosten4_h4 = 0;

*Berechnen der Hilfsvariablen;
IAzugang_h1 = sum(IAtermin_h1, IAweg_h1, IAkosten1_h1, IAkosten2_h1, IAkosten3_h1, IAkosten4_h1); 
IAzugang_h2 = sum(IAtermin_h2, IAweg_h2, IAkosten1_h2, IAkosten2_h2, IAkosten3_h2, IAkosten4_h2);
IAzugang_h3 = sum(IAtermin_h3, IAweg_h3, IAkosten1_h3, IAkosten2_h3, IAkosten3_h3, IAkosten4_h3);
IAzugang_h4 = sum(IAtermin_h4, IAweg_h4, IAkosten1_h4, IAkosten2_h4, IAkosten3_h4, IAkosten4_h4);

* Schritt 2: Zusammenfassende Variable (UNTOT = IAzugang) bilden ;
********************************************************************;
if IAzugang_h1 >= 1 then IAzugang = 1;
if IAzugang_h1 = 0 and IAzugang_h2 > 0 and IAzugang_h4 = 0 then IAzugang = 2;
if IAzugang_h3 = 6 then IAzugang = 3;";Nominal;UN2A1f;;
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
;;;;;;;;;;;;;3;Kein Bedarf
GEDA19;Inanspruchnahme (1401);Arztbesuche (140101);IAarzt1B_k;;17;Abt2_DS;Besuch Allgemeinarzt oder Hausarzt < 12 Mon.;IAarzt1B;"Personen, die bei IAarzt1B angaben, vor weniger als 12 Monaten einen Allgemeinmeidiziner oder Hausarzt aufgesucht zu haben, werden mit ""Ja"" kodiert.
Bei denen der Besuch länger her ist oder die noch nie beim Hausarzt oder Allgemeinmediziner waren, werden mit ""Nein"" kodiert.
IAarzt1B_k ist Missing, wenn IAarzt1B mit ""Weiß nicht"" oder ""Keine Angabe"" beantwortet wurde.";"if IAarzt1B=1 then IAarzt1B_k=1;
if IAarzt1B in (2 3) then IAarzt1B_k=2;";Ordinal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Inanspruchnahme (1401);Arztbesuche (140101);IAfa_k;;17;Abt2_DS;Besuch Facharzt < 12 Mon.;IAfa;"Personen, die bei IAfa angaben, vor weniger als 12 Monaten einen Facharzt aufgesucht zu haben, werden mit ""Ja"" kodiert.
Bei denen der Besuch länger her ist oder die noch nie beim Facharzt waren, werden mit ""Nein"" kodiert.
IAfa_k ist Missing, wenn IAfa mit ""Weiß nicht"" oder ""Keine Angabe"" beantwortet wurde.";"if IAfa=1 then IAfa_k=1;
 if IAfa in (2 3) then IAfa_k=2;";Ordinal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Inanspruchnahme (1401);Arztbesuche (140101);IAfa4w_k;;17;Abt2_DS;Besuch Facharzt i.d.l. 4 Wochen: Anzahl (kateg.);IAfa, IAfa4w;"Zusammenfassende Variable zum Besuch des Facharztes in den letzten 4 Wochen. Die Syntax wurde aus den Informationen des  Dokuments EHIS Indicators gebildet. Der EHIS Name ist AM5c.
IAfa4w_k = keine Konsultationen, wenn die Frage nach dem Besuch des Facharztes mit ""Vor 12 Monaten oder länger"" oder mit ""Nie"" beantwortet wurde..
IAfa4w_k = 1 Konsultation bzw. 2 Konsultationen, wenn die Frage nach der Anzahl der Konsultationen i.d.l. 4 Wochen (IAfa4w) mit 1 bzw. 2 beantwortet wurde.
IAfa4w_k = 3 oder mehr Konsultationen, wenn die Frage nach der Anzahl der Konsultationen i.d.l. 4 Wochen (IAfa4w) einen Wert von größer gleich 3 hat.
Hinweis: Die Hilfsvariablen, die für die Bildung benötigt werden, werden nicht in SynopseDB angelegt, sondern sind nur in der Syntax enthalten.";"**********************************;
* generieren von IAfa4w_k (AM5c)  ;
**********************************;
* Schritt 1: Hilfsvariablen bilden  (IAfa_h1 = AM5n)  ;
******************************************************;
if IAfa in (2 3) then IAfa_h1 = 0;
if IAfa = 1 and (IAfa4w >= 0 and IAfa4w <= 99) then IAfa_h1 = IAfa4w;

* Schritt 2: Zusammenfassende Variable (IAfa4w_k = AM5c) bilden ;
****************************************************************;
IAfa4w_k = IAfa_h1;
if IAfa_h1 >= 3 then IAfa4w_k = 3;";Ordinal;IAarztfa4w_k;;
;;;;;;;;;;;;;0;Keine Konsultationen
;;;;;;;;;;;;;1;1 Konsultation
;;;;;;;;;;;;;2;2 Konsultationen
;;;;;;;;;;;;;3;3 oder mehr Konsultationen
GEDA19;Inanspruchnahme (1401);Arztbesuche (140101);IAfa4w_k2;;17;Abt2_DS;Besuch Facharzt i.d.l. 4 Wochen: Anzahl (kateg.), EHIS;IAfa, IAfa4w;Siehe IAfa4w_k mit max. Anzahl der Arztbesuche limitiert auf 9 gemäß EHIS_Richtlinien.;"IAfa4w_k2=IAfa4w;
if IAfa4w >9 then IAfa4w_k2 = 9;";Ordinal;IAfa4w_k2f;;
;;;;;;;;;;;;;-95;Eingangsfrage kA/wn
;;;;;;;;;;;;;-96;Filterbedingt fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;9;9 oder mehr
GEDA19;Inanspruchnahme (1401);Arztbesuche (140101);IAarztfa;;17;Abt2_DS;Besuch Allgemeinarzt/Hausarzt oder Facharzt;IAarzt1B, IAfa;"Zusammenfassende Variable zum letzten Besuch bei einem Allgemeinarzt/Hausarzt und Facharzt. Die Syntax wurde aus den Informationen des  Dokuments EHIS Indicators gebildet. Der EHIS Name ist AM24.
Die zusammenfassende Variable gibt das Minimum der Angaben aus. D.h. wenn der Besuch bei einem Hausarzt vor mehr als 12 Monaten war, aber der Besuch bei einem Facharzt vor weniger als 12 Monaten, erhält IAarztfa den Wert ""Vor weniger als 12 Monaten"".";"*************************************;
* generieren von IAarztfa (AM24)  ;
*************************************;
IAarztfa = min(IAarzt1B, IAfa);";Ordinal;Zeitraum321f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Vor weniger als 12 Monaten
;;;;;;;;;;;;;2;Vor 12 Monaten oder länger
;;;;;;;;;;;;;3;Nie
GEDA19;Inanspruchnahme (1401);Arztbesuche (140101);IAarzt1B4w_k;;17;Abt2_DS;Besuch Allgemeinarzt oder Hausarzt i.d.l. 4 Wochen: Anzahl (kateg.);IAarzt1B, IAarzt1B4w;"Zusammenfassende Variable zum Besuch des Allgmeinarztes/Hausarztes in den letzten 4 Wochen. Die Syntax wurde aus den Informationen des  Dokuments EHIS Indicators gebildet. Der EHIS Name ist AM3c.
IAarzt1B4w_k = keine Konsultationen, wenn die Frage nach dem Besuch des Allgeminarztes/Hausarztes mit ""Vor 12 Monaten oder länger"" oder mit ""Nie"" beantwortet wurde..
IAarzt1B4w_k = 1 Konsultation bzw. 2 Konsultationen, wenn die Frage nach der Anzahl der Konsultationen i.d.l. 4 Wochen (IAarzt1B4w) mit 1 bzw. 2 beantwortet wurde.
IAarzt1B4w_k = 3 oder mehr Konsultationen, wenn die Frage nach der Anzahl der Konsultationen i.d.l. 4 Wochen (IAarzt1B4w) einen Wert von größer gleich 3 hat.
Hinweis: Die Hilfsvariablen, die für die Bildung benötigt werden, werden nicht in SynopseDB angelegt, sondern sind nur in der Syntax enthalten.";"***************************************;
* generieren von IAarzt1B4w_k (AM3c) ;
***************************************;
* Schritt 1: Hilfsvariablen bilden (IAarzt1b_h1 = AM3n)  ;
**********************************************************;
if IAarzt1B in (2 3) then IAarzt1B_h1 = 0;
if IAarzt1B = 1 and (IAarzt1B4w >= 0 and IAarzt1B4w <= 99) then IAarzt1B_h1 = IAarzt1B4w;

* Schritt 2: Zusammenfassende Variable (IAarzt1B4w_k = AM3c) bilden ;
********************************************************************;
IAarzt1B4w_k = IAarzt1B_h1;
if IAarzt1B_h1 >= 3 then IAarzt1B4w_k = 3;";Ordinal;IAarztfa4w_k;;
;;;;;;;;;;;;;0;Keine Konsultationen
;;;;;;;;;;;;;1;1 Konsultation
;;;;;;;;;;;;;2;2 Konsultationen
;;;;;;;;;;;;;3;3 oder mehr Konsultationen
GEDA19;Inanspruchnahme (1401);Arztbesuche (140101);IAarztfa4w_k;;17;Abt2_DS;Besuch Allgemeinarzt/Hausarzt oder Facharzt i.d.l. 4 Wochen: Anzahl (kateg.);IAarzt1B, IAarzt1B4w, IAfa, IAfa4w;"Zusammenfassende Variable zum Besuch des Allgmeinarztes/Hausarztes oder Facharztes in den letzten 4 Wochen. Die Syntax wurde aus den Informationen des  Dokuments EHIS Indicators gebildet. Der EHIS Name ist AM35c.
IAarztfa4w_k = keine Konsultationen, wenn die Fragen nach der Anzahl der Konsultationen i.d.l. 4 Wochen mit 0 beantwortet wurden.
IAarztfa4w_k = 1 Konsultation bzw. 2 Konsultationen, wenn die Summe der Fragen nach der Anzahl der Konsultationen i.d.l. 4 Wochen (IAarzt1B4w + IAfa4w) = 1 bzw. = 2 ist.
IAarztfa4w_k = 3 oder mehr Konsultationen, wenn die Summe der Fragen nach der Anzahl der Konsultationen i.d.l. 4 Wochen einen Wert von größer gleich 3 hat.
Hinweis: Die Hilfsvariablen, die für die Bildung benötigt werden, werden nicht in SynopseDB angelegt, sondern sind nur in der Syntax enthalten.";"***************************************;
* generieren von IAarztfa4w_k (AM35c)  ;
***************************************;
* Schritt 1: Hilfsvariablen bilden  (IAarztfa_h1 = AM35n)  ;
***********************************************************;
if IAarzt1B_h1 >= 0 and IAfa_h1 >= 0 then IAarztfa_h1 = sum(IAarzt1B_h1, IAfa_h1);

* Schritt 2: Zusammenfassende Variable (IAarztfa4w_k = AM35c) bilden ;
************************************************************************;
IAarztfa4w_k = IAarztfa_h1;
if IAarztfa_h1 >= 3 then IAarztfa4w_k = 3;";Ordinal;IAarztfa4w_k;;
;;;;;;;;;;;;;0;Keine Konsultationen
;;;;;;;;;;;;;1;1 Konsultation
;;;;;;;;;;;;;2;2 Konsultationen
;;;;;;;;;;;;;3;3 oder mehr Konsultationen
GEDA19;Inanspruchnahme (1401);Krankenhaus (140102);IAkhsz;;17;Abt2_DS;Anzahl Krankenhausnächte i.d.l. 12 Mon.;IAkhs IAkhszB;"i.d.l. 12 Monaten
Wer in den letzten 12 Monaten nicht im Krankenhaus war, wird auf ""0"" gesetzt.";"/*alle Werte aus der EHIS-Variable (IAkhszB) werden in die GEDA-Variable (IAkhsz) übertragen*/
IAkhsz=IAkhszB;
 /*Anzahl auf 0 setzen, wenn die Eingangsfrage mit ""Nein"" beantwortet wurde*/
 if IAkhs = 2 then IAkhsz = 0;
 /*Anzahl auf .E setzen, wenn die Eingangsfrage mit ""Weiß nicht"" oder ""Keine Angabe"" beantwortet wurde*/
 if IAkhs in (.W .K) then IAkhsz = .E;";Scale;WnKaFilt20f;;
;;;;;;;;;;;;;-95;Eingangsfrage kA/Wn
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-98;Weiß nicht
GEDA19;Inanspruchnahme (1401);Krankenhaus (140102);IAkhsz_k;;17;Abt2_DS;Anzahl Krankenhausnächte i.d.l. 12 Mon. (kateg.);IAkhs IAkhszB IAkhsz;"Neu gebildet für Eurostat.
Keine Nacht in der Klinik wird mit ""0"" kodiert, das Maximumsidn gemäß den Anonymisierungsregen von Eurostat 20 Nächte, alles über 20 Nächte wird zu 20 zusammengefasst.

IAkhsz_k ist Missing, wenn eine der Eingangsfragen nicht beantwortet wurde.";"Iakhsz_k=IAkhsz;
if IAkhsz  > 20 then IAkhsz_k=20;";Ordinal;IAkhsz_k;;
;;;;;;;;;;;;;-95;Eingangsfrage kA/wn
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;20;20 oder mehr
GEDA19;Inanspruchnahme (1401);Krankenhaus (140102);IAambCz;;17;Abt2_DS;Tagespatient im Krankenhaus i.d.l. 12 Mon.: Anzahl der Aufnahmen;(IAambC IAambDz;"i.d.l. 12 Monaten

Um die Vergleichbarkeit der GEDA-Studien zu gewährleisten, muss eine Variable generiert werden, die auch ""0"" Aufnahmen enthält. 
So werden alle Teilnehmer, die die Frage, ob sie als Tagespatient in den letzten 12 Monaten in ein Krankenhaus aufgenommen wurden (IAambC) bei IAambCz auf 0 gesetzt.";"/*alle Werte aus der EHIS-Variable (IAambDz) werden in die GEDA-Variable (IAambCz) übertragen*/
IAambCz=IAambDz;
 /*Anzahl auf 0 setzen, wenn die Eingangsfrage mit ""Nein"" beantwortet wurde*/
 if IAambC = 2 then IAambCz = 0;
 /*Anzahl auf .E setzen, wenn die Eingangsfrage mit ""Weiß nicht"" oder ""Keine Angabe"" beantwortet wurde*/
 if IAambC in (.W .K) then IAambCz = .E;";Scale;WnKaFilt20f;;
